"","X","year","site","transect","plantID","h_apical","h_apical.next","stem_width","aliveJune","fec.flower","N_pods","seedling","per.leaves.dam","herb_avg"
"2534",3331,2014,"BLD1",40,"204",76.4,119.9,12,1,1,2,0,NA,0.055555555555556
"2535",3332,2014,"BLD1",40,"203",26.3,NA,10,1,0,NA,0,NA,0.333333333333333
"2536",3333,2014,"BLD1",40,"205",68.7,NA,9.1,1,1,NA,0,NA,0
"2537",3334,2014,"BLD1",40,"206",32.5,NA,10.7,1,0,NA,0,NA,0
"2538",3335,2014,"BLD1",40,"257",14.2,NA,7.4,1,0,NA,0,NA,0
"2539",3336,2014,"BLD1",40,"355",73.9,99,13.7,1,1,1,0,NA,0.368421052631579
"2540",3337,2014,"BLD1",42,"341",35,NA,4.2,1,0,NA,0,NA,0
"2541",3338,2014,"BLD1",42,"342",56.5,88.9,8.5,1,1,4,0,NA,0
"2542",3339,2014,"BLD1",42,"4194",NA,NA,NA,0,NA,NA,NA,NA,NA
"2543",3340,2014,"BLD1",42,"4193",NA,NA,NA,0,NA,NA,NA,NA,NA
"2544",3341,2014,"BLD1",42,"340",59,120.2,9.9,1,1,3,0,NA,0.95
"2545",3342,2014,"BLD1",42,"4191",NA,NA,NA,0,NA,NA,NA,NA,NA
"2546",3343,2014,"BLD1",42,"368",NA,NA,NA,0,NA,NA,NA,NA,NA
"2547",3344,2014,"BLD1",42,"339",53.8,100.2,10.1,1,1,2,0,NA,0.8
"2548",3345,2014,"BLD1",42,"338",85,NA,14,1,1,NA,0,NA,0.6
"2549",3346,2014,"BLD1",42,"337",64.6,129.7,11.4,1,1,8,0,NA,0
"2550",3347,2014,"BLD1",42,"4188",NA,NA,NA,0,NA,NA,NA,NA,NA
"2551",3348,2014,"BLD1",42,"4190",NA,NA,NA,0,NA,NA,NA,NA,NA
"2552",3349,2014,"BLD1",42,"4189",84.5,NA,12.1,1,1,NA,0,NA,0.45
"2553",3350,2014,"BLD1",42,"353",77,112.4,8.4,1,1,3,0,NA,0.263157894736842
"2554",3351,2014,"BLD1",42,"336",68.2,123.4,11.9,1,1,3,0,NA,0.315789473684211
"2555",3352,2014,"BLD1",42,"352",76.5,106.2,11.1,1,1,1,0,NA,0.411764705882353
"2556",3353,2014,"BLD1",42,"335",94.5,151.5,14,1,1,6,0,NA,0.4
"2557",3354,2014,"BLD1",42,"351",49.4,100.6,9.3,1,1,2,0,NA,0
"2558",3355,2014,"BLD1",42,"4187",NA,NA,NA,0,NA,NA,NA,NA,NA
"2559",3356,2014,"BLD1",42,"350",63.6,110.8,11.2,1,1,2,0,NA,0
"2560",3357,2014,"BLD1",42,"4186",NA,NA,NA,0,NA,NA,NA,NA,NA
"2561",3358,2014,"BLD1",42,"349",55.6,98.5,8.5,1,1,3,0,NA,0
"2562",3359,2014,"BLD1",42,"4185",NA,NA,NA,0,NA,NA,NA,NA,NA
"2563",3360,2014,"BLD1",42,"319",78.9,138.6,11.4,1,1,4,0,NA,0.333333333333333
"2564",3361,2014,"BLD1",42,"348",58.7,96.4,8.7,1,1,3,0,NA,0.555555555555556
"2565",3362,2014,"BLD1",42,"4184",80.4,NA,14.2,1,1,NA,0,NA,0
"2566",3363,2014,"BLD1",42,"4192",72.5,113.2,11.6,1,1,4,0,NA,0.7
"2567",3364,2014,"BLD1",42,"318",66.7,114,9.5,1,0,0,0,NA,0.55
"2568",3365,2014,"BLD1",42,"347",63.8,108.4,10,1,1,1,0,NA,0.071428571428571
"2569",3366,2014,"BLD1",42,"346",62,112.8,9.9,1,1,2,0,NA,0
"2570",3367,2014,"BLD1",42,"317",83.2,132.5,11.1,1,1,4,0,NA,0.25
"2571",3368,2014,"BLD1",42,"345",33.2,NA,6.2,1,0,NA,0,NA,0.733333333333333
"2572",3369,2014,"BLD1",42,"4173",86.8,140.3,12.3,1,1,5,0,NA,0.863636363636364
"2573",3370,2014,"BLD1",42,"344",27.7,NA,13.8,1,0,NA,0,NA,NA
